Currency,Rate
AED,3.902503
AFN,92.442634
ALL,115.128559
AMD,412.572417
ANG,1.914859
AOA,539.251182
ARS,215.629607
AUD,1.58849
AWG,1.917927
AZN,1.805639
BAM,1.954923
BBD,2.145408
BDT,113.94889
BGN,1.954952
BHD,0.400801
BIF,2204.819067
BMD,1.062563
BND,1.42696
BOB,7.341776
BRL,5.590944
BSD,1.062558
BTC,4.0010039e-05
BTN,87.747468
BWP,14.100808
BYN,2.681897
BYR,20826.242753
BZD,2.141639
CAD,1.460015
CDF,2180.380404
CHF,0.985762
CLF,0.031853
CLP,878.612335
CNY,7.313517
COP,5142.902515
CRC,576.94665
CUC,1.062563
CUP,28.15793
CVE,110.772155
CZK,23.91401
DJF,189.176928
DKK,7.445053
DOP,58.122526
DZD,144.987011
EGP,32.721181
ERN,15.938451
ETB,57.16699
EUR,1.0
FJD,2.352462
FKP,0.87749
GBP,0.875128
GEL,2.740863
GGP,0.87749
GHS,13.228191
GIP,0.87749
GMD,65.355249
GNF,9149.895974
GTQ,8.287361
GYD,224.191553
HKD,8.340857
HNL,26.229361
HRK,7.457361
HTG,164.206348
HUF,395.966358
IDR,16320.389503
ILS,3.907418
IMP,0.87749
INR,87.759261
IQD,1551.342572
IRR,44919.867776
ISK,149.311204
JEP,0.87749
JMD,161.189218
JOD,0.754522
JPY,140.595225
KES,138.025272
KGS,92.889463
KHR,4309.107779
KMF,496.854308
KPW,956.354738
KRW,1388.56859
KWD,0.325973
KYD,0.885411
KZT,487.021555
LAK,17935.955141
LBP,15948.146738
LKR,360.198439
LRD,170.956627
LSL,19.58284
LTL,3.137474
LVL,0.642734
LYD,5.123702
MAD,11.003468
MDL,19.815112
MGA,4595.586225
MKD,61.592374
MMK,2231.220224
MNT,3761.346234
MOP,8.591027
MRO,379.334953
MUR,49.403885
MVR,16.374144
MWK,1112.411516
MXN,19.974703
MYR,4.785819
MZN,67.050507
NAD,19.582783
NGN,489.246535
NIO,38.836853
NOK,11.398952
NPR,140.395028
NZD,1.701717
OMR,0.408993
PAB,1.062523
PEN,4.026432
PGK,3.745507
PHP,58.118494
PKR,299.361744
PLN,4.704357
PYG,7661.635613
QAR,3.869326
RON,4.922973
RSD,117.344213
RUB,81.490084
RWF,1162.989307
SAR,3.991125
SBD,8.749082
SCR,13.963314
SDG,631.672137
SEK,11.190631
SGD,1.426869
SHP,1.292875
SLE,22.529244
SLL,20985.627227
SOS,604.068974
SRD,36.386954
STD,21992.917192
SVC,9.29683
SYP,2669.746971
SZL,19.50725
THB,36.260037
TJS,11.581314
TMT,3.729598
TND,3.355841
TOP,2.507703
TRY,20.192397
TTD,7.210766
TWD,32.485219
TZS,2486.308057
UAH,39.240769
UGX,3981.34538
USD,1.062563
UYU,42.031148
UZS,12150.412365
VEF,2549799.051819
VES,25.552116
VND,25065.870742
VUV,127.391633
WST,2.907129
XAF,655.712063
XAG,0.048365
XAU,0.000545
XCD,2.87163
XDR,0.80056
XOF,656.664428
XPF,120.654183
YER,265.906122
ZAR,19.510043
ZMK,9564.340419
ZMW,21.808218
ZWL,342.144983
